T,Y,Z
+0.587891,-0.239235,-0.072571
+0.589844,-0.245196,-0.048773
+0.591797,-0.248796,-0.024504
+0.593750,-0.250000,-0.000000
+0.595703,-0.248796,+0.024504
+0.597656,-0.245196,+0.048773
+0.599609,-0.239235,+0.072571
+0.601562,-0.230970,+0.095671
+0.603516,-0.220480,+0.117849
+0.605469,-0.207867,+0.138893
+0.607422,-0.193253,+0.158598
+0.609375,-0.176777,+0.176777
+0.611328,-0.158598,+0.193253
+0.613281,-0.138893,+0.207867
+0.615234,-0.117849,+0.220480
+0.617188,-0.095671,+0.230970
+0.619141,-0.072571,+0.239235
+0.621094,-0.048773,+0.245196
+0.623047,-0.024504,+0.248796
+0.625000,-0.000000,+0.250000
+0.626953,+0.024504,+0.248796
+0.628906,+0.048773,+0.245196
+0.630859,+0.072571,+0.239235
+0.632812,+0.095671,+0.230970
+0.634766,+0.117849,+0.220480
+0.636719,+0.138893,+0.207867
+0.638672,+0.158598,+0.193253
+0.640625,+0.176777,+0.176777
+0.642578,+0.193253,+0.158598
+0.644531,+0.207867,+0.138893
+0.646484,+0.220480,+0.117849
+0.648438,+0.230970,+0.095671
+0.650391,+0.239235,+0.072571
+0.652344,+0.245196,+0.048773
+0.654297,+0.248796,+0.024504
+0.656250,+0.250000,-0.000000
+0.658203,+0.248796,-0.024504
+0.660156,+0.245196,-0.048773
+0.662109,+0.239235,-0.072571
+0.664062,+0.230970,-0.095671
+0.666016,+0.220480,-0.117849
+0.667969,+0.207867,-0.138893
+0.669922,+0.193253,-0.158598
+0.671875,+0.176777,-0.176777
+0.673828,+0.158598,-0.193253
+0.675781,+0.138893,-0.207867
+0.677734,+0.117849,-0.220480
+0.679688,+0.095671,-0.230970
+0.681641,+0.072571,-0.239235
+0.683594,+0.048773,-0.245196
+0.685547,+0.024504,-0.248796
+0.687500,+0.000000,-0.250000
+0.689453,-0.024504,-0.248796
+0.691406,-0.048773,-0.245196
+0.693359,-0.072571,-0.239235
+0.695312,-0.095671,-0.230970
+0.697266,-0.117849,-0.220480
+0.699219,-0.138893,-0.207867
+0.701172,-0.158598,-0.193253
